tracks	play-repeated	heart	comment
Ctrl Alt Destruction (Original Mix) [The KSI Anthem]	4,747,248	73,794	2,514
China Town (Prod By MPC CARTEL)	6,068,925	82,782	1,210
Chris Sails - Letter To My Ex (New Single)(Official Audio)	7,184,164	90,626	584
Conor Maynard SING OFF Vs. Pixie Lott (Luis Fonsi - Despacito Ft. Daddy Yankee Justin Bieber)	7,222,763	86,154	645
Chris Brown - Hope You Do	7,193,981	106,650	413
Clever - All In (feat. Polo G, G Herbo)	18,971,942	183,910	2,421
Costa Gold - Meio Loco (Part. Cogito) [Estúdio DiResponsa]	7,096,204	91,318	397
CRAIG XEN & XXXTENTACION  - RUN IT BACK!	9,892,467	158,525	5,151
Cosas De La Clika - Herencia De Patrones Ft. Legado 7 Y Fuerza Regida	9,268,092	79,351	606
Coldplay - Hymn for the Weekend	6,676,227	69,342	748
Calvin Harris - How Deep Is Your Love (Personal Edit)	5,568,515	68,950	224
Chanel Bag Prod. @geehues x @1yeezo	13,454,935	127,216	3,809
Casanova (feat. Skizzy Mars and G-Eazy)	6,883,089	84,562	417
Chris Brown feat. Tyga - Bitches n Marijuana (Moe Williams Intro Edit)	5,738,288	71,673	232
Crecia	8,901,931	118,011	323
Celine Dion Greatest Hits - Best Songs Of Celine Dion - Full Songs 2015	2,861,638	48,081	849
Chris Brown - Questions (Riddim Shotta Edit)	5,557,376	70,675	207
Cloonee - Separated	4,764,430	85,089	2,711
Carla Morrison - Disfruto [Album Version]	5,853,039	90,674	852
Cartoon - On And On NCS	5,455,356	65,878	887
Cheep Thrills - Sia (Miss Maleya Edit)	4,555,227	72,395	400
Chris Brown - Look At Me Now (clean) Ft. Lil Wayne, Busta Rhymes (LYRICS!)	5,781,463	85,828	1,297
Charlie	10,442,543	120,531	1,375
CORONAO NOW - EL ALFA FT LIL PUMP	7,775,761	120,249	2,125
Cults - Always Forever	5,504,139	98,767	1,816
Chopin – Nocturne Op. 9 No. 2	3,922,125	53,653	1,890
Costa Gold - Alameda Weed (Part. WENTZ)	6,747,287	79,392	486
Cant be friends-Trey Songz	4,119,807	63,965	242
CODY SIMPSON - La Da Dee	5,629,477	68,025	2,453
Childish Gambino- Heartbeat	6,932,937	85,546	327
Coming Over - Kygo & Dillon Francis feat. James Hersey	6,358,140	87,913	247
Counting Stars-One Republic Cover(Alex Goot, Chrissy Costanza, and Kurt Hugo Schneider)	5,060,209	62,743	1,293
Chief Keef - Rider feat. Wiz Khalifa	5,628,069	73,669	665
Chance the Rapper - Paranoia (Produced by Nosaj Thing)	6,529,190	87,950	332
Celine Dion~~~ My heart will go on	4,420,989	77,026	924
Coldplay - Paradise	4,742,993	78,155	1,248
CHANNA MEREYA REMIX_ASHISH SONI CHILLOUT MIX	4,473,623	85,327	416
Charlie Puth - Attention (Roman Müller Edit)	7,296,088	96,598	928
Clair de Lune - Debussy	5,156,331	60,414	3,656
Chris Brown - No Guidance (feat. Drake)	6,430,053	99,403	1,264
Chief Keef - Hate Being Sober	8,084,945	104,169	571
Costa Gold - 155 (prod. Lotto)	5,598,418	71,700	247
Christina Perri - A thousand years - official video (subtitulado)	4,549,439	74,865	1,593
Cant Hold Us	5,591,554	71,486	1,911
Cold	6,374,820	81,697	1,979
Capital Bra - Nur Noch Gucci	4,264,847	45,899	532
Cara a La Muerte... Gerardo Ortiz... Promo_ Mayo 2011	7,498,398	40,511	348
Chad Kroeger (Nickelback) Interview	476,385	914	27
Ciara - Body Party (Lyrics On Screen)	3,983,269	65,773	381
Chief Keef - They Know	6,421,383	78,339	697
Chris Jay - Nebula (Scream)	4,250,028	61,917	3,109
Clout (feat. 21 Savage)	6,933,854	104,636	419
Can't Sit With Us	4,121,767	67,309	242
Crazy Story (Remix) (feat. Lil Durk)	8,306,440	117,335	2,722
Chris Brown-Sex	3,458,649	56,186	139
Christina Milian ft. Lil Wayne - Do It	1,739,094	29,836	165
Common Kings- Alcoholic	2,035,180	24,527	211
Cham Cham Movie Baaghi	1,642,465	39,524	147
Como Yo Le Doy (Official Remix)Don Miguelon Ft J Alvarez & Zion	2,888,512	24,685	41
Clarity - Madilyn Bailey & Clara C	1,730,804	23,766	646
Canserbero - Maquiavelico	3,572,035	60,882	484
Crazy - 4Minute	2,275,811	33,503	307
Conjunto Primavera Mix - Exitos	3,082,033	22,167	332
Chão de Giz	1,703,988	25,324	312
Cup - Wiz Khalifa ft Juicy J & Chevy Woods	2,919,396	42,655	110
Chris Brown - Fine By Me	2,134,476	27,695	204
Capital STEEZ - Emotionless Thoughts	3,142,034	52,541	548
Cheerleader (Timeflies Tuesday)	2,502,492	23,836	266
Ceza - Suspus	3,811,900	21,966	286
Color Me Badd - I Wanna Sex You Up	1,421,409	21,858	180
Cash Out - The Twerk Song (www.hiphopcafeexclusive.com)	1,719,365	24,920	124
Charlie Brown Jr - Vicios e Virtudes	2,428,813	31,254	78
Crazy Frog - Axel F (EH!DE Remix) [Free]	2,156,077	35,299	1,245
Coldplay - Trouble	1,754,617	17,936	184
Chillin It - Cole Swindell	1,181,411	11,965	69
Chasing Cars - Sleeping At Last	3,622,420	47,669	399
Cali Life Style - Lost	7,426,389	77,399	2,340
Cristiano Araujo - Caso Indefinido	5,773,746	42,222	212
Christmas Songs- Marilyn Monroe - Santa Baby	3,221,237	24,350	401
C U GiiiiiiiiRL	4,649,700	91,058	559
Cassandra - Cinta Terbaik	5,422,188	55,814	484
Chandelier (Single Version)	4,554,121	48,298	1,110
Cold play - The scientist	5,641,786	45,721	439
Cupid Shuffle	2,834,466	37,417	841
Cumbia mix	3,873,963	40,291	622
Drama (Ft. Drake)	121,139,234	1,556,081	11,735
Don't Change(Freeverse)	763,669	5,080	470
DESPACITO - Luis Fonsi ❌ Daddy Yankee	99,210,600	1,444,378	9,534
Dark Knight Dummo (ft. Travis Scott)	113,195,117	1,295,661	22,824
Die Young [Prod. by London On Da Track & Rex Kudo]	56,447,996	645,822	8,018
Diplo - Revolution (Absence Remix) [feat. Faustix & Imanos and Kai]	37,397,351	590,920	5,039
Dile Que Tu Me Quieres - Ozuna	42,968,161	464,468	1,881
Dua Lipa - New Rules	34,387,415	561,874	3,510
DEEP HOUSE SUMMER MIX 2 - AHMET KILIC	24,426,584	463,037	10,098
Dae Dae - Wat U Mean (Aye, Aye, Aye)	36,197,718	488,990	2,692
Drive By	35,777,380	446,691	2,355
DRAKE - IN MY FEELINGS - KIKI! DO YOU LOVE ME! [LOOP]	33,115,658	495,431	4,219
Despacito Luis Fonsi Ft Daddy Yanke 2017	29,985,439	525,352	1,709
Dj Khaled ft Rihanna, Bryson Tiller Wild Thoughts [B-Mix]	18,919,518	277,224	1,203
Drake ft future- jumpman	21,002,693	237,656	1,766
Dr. Dre - The Next Episode (San Holo Remix)	18,575,376	282,358	4,371
Donnie Trumpet & The Social Experiment - Sunday Candy	25,703,369	371,305	1,683
Drake - Money In The Grave (feat. Rick Ross)	30,568,687	332,869	6,534
Dj Kass - Scooby Doo Pa Pa	22,247,941	395,576	2,127
Dax - "My Last Words"	3,945,654	51,822	1,785
Drake - Sweeterman [Explicit]	22,073,442	360,396	751
DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B(8D AUDIO)	19,592,762	393,752	5,792
Duru Tha King - #NewCharlotte | Link to video in Description	28,384,536	326,039	1,571
Do You?	17,041,486	347,138	3,305
DeJ Loaf Ft. Future - Hey There (And See That's The Thing) (Audio)	18,590,235	237,264	753
Documentary [Prod. By Tino]	18,192,980	225,293	381
Dusk Till Dawn - Zayn ft. Sia (SING OFF Conor Maynard vs. Madison Beer)	16,480,397	268,848	2,595
Deep Chills - Blinded (feat. Emma Carn) [FREE DOWNLOAD]	15,239,387	249,983	3,416
Drake - Hotline Bling (Charlie Puth & Kehlani Cover) [Wildfellaz & Arman Cekin Remix]	15,884,128	222,157	4,565
Dr Dre - Numb Encore (Remix) f Jay-Z, Eminem, 50 Cent & Linkin Park(2)	16,876,566	195,993	1,906
Dancehall Party Mix 2017 - 2018, Vybz Kartel, Alkaline, Mavado, Aidonia, Popcaan & More	10,352,603	187,797	4,063
David Guetta - Hey Mama (Official Original Video) Ft Nicki Minaj, Bebe Rexha & Afrojack	18,443,128	290,205	2,274
Drake - July ft. Jhene Aiko	13,600,898	207,838	690
DRIFTER	12,924,424	230,980	2,010
Doja Cat - 4 Morant	11,971,330	246,349	9,355
Dark Red	13,281,831	239,182	4,091
Deep Shamanic Meditation- Relaxing Powerful Meditation Music For Deep Relaxation, Sleep Music 030	6,863,324	100,545	5,047
Drebo - Squeezed Up	22,766,612	274,204	1,006
DEMO.1	2,902,963	114,364	66,066
DEWA 19 - Kangen	8,182,019	113,590	804
Do Ya Like - Childish Gambino	6,036,322	114,005	888
Despues de Ti Quien-La Adictiva Banda San Jose de Mesillas	11,510,423	42,254	371
Dreezy - Up And Down produced by D. Brooks Exclusive (mp3.pm)	5,532,813	68,323	200
Dwayne DJ Bravo - Champion	4,047,422	78,004	642
DJ AISYAH JATUH CINTA PADA JAMILA.. TIK TOK PALING POPULER SEDUNIA	7,883,164	114,645	734
Dexy's Midnight Runners - Come On Eileen	6,570,143	64,322	515
DJ Special Ed's Old School 70s and 80s Funk Mix Vol. 1	2,333,777	36,093	527
Dej Loaf - I Got It (Sell Sole)	4,514,454	57,879	145
Deadmau5 Strobe	5,131,536	82,829	2,437
DEMO.4	1,321,372	47,867	22,782
Deesmi Onlife — Влюбился В Неё (Премьера 2019)	11,105,077	139,591	1,228
Drake Feat JoJo - Marvins Room 2	4,977,033	74,695	242
Dhoom3 Kamli Ft.Sunidhi Chauhan	3,594,687	85,711	493
Dont stop believing by Journey / Cover	2,839,575	33,162	535
Dum Dum-Band Baja Barat	3,757,687	85,220	250
De Janeiro a Janeiro - Roberta Campos e Nando Reis	4,140,918	38,942	480
DJ TATI 90S R&B MIX	1,920,271	37,815	411
Deep End- Foushee original	8,442,308	158,580	1,513
Dr Dre Still DRE feat Snoop Dogg	4,452,347	73,504	1,155
Dangerously in love	11,543,171	151,502	613
Dance Monkey	16,043,766	321,929	6,059
difference (interlude)	14,829,928	187,760	4,088
Dancehall Mix 2014, Vybz Kartel, Mavado, Aidonia, Popcaan & More	8,064,344	129,387	1,965
Don't Drop That Thun Thun	8,173,050	101,716	4,057
Do I Wanna Know? - Arctic Monkeys	8,938,235	137,596	1,358
ĐÔNG KIẾM EM / Vũ. (Original)	8,385,267	91,497	1,416
Do You Mind -  Dj khaled Ft. Nicki Minaj etc.. [BASS BOOSTED] Dj Eva Frass	9,922,477	137,230	1,311
Dreams & Nightmares (ft. Lil Peep)	16,159,790	219,428	3,603
daddy issues	9,204,046	150,086	6,141
Deep House Mix #25 2014 HD | Best Deep & Lounge Chill Music	6,171,150	119,244	10,687
Dreezy - Up & Down	8,531,860	113,036	346
Dj Flex ~ Frozen Let It Go (feat. Dj Taj)	8,496,230	117,405	2,569
Dreams and Nightmares	20,669,292	210,876	3,611
Delax - Drop You Like	9,111,867	142,222	3,689
Duros De Acostar Barranquilla-RoyalFest Edition (29·Julio·2016)	4,324,100	101,782	1,930
Disfruto Lo Malo	13,442,611	138,765	2,788
Deep House Mix 2013 *Free Download*	6,759,232	115,869	4,389
Don Lu X Fetty Wap - One Night Only	9,834,703	112,458	454
DJ Telly Tellz - Fuck It Up Challenge (Instagram @djtellytellz) [Jersey Club Music]	9,357,511	154,408	696
Dierks Bentley - Drunk On A Plane (Lyrics)	2,319,028	24,281	262
Drake - Shot For Me	3,427,497	57,181	120
Dewa 19 - Risalah Hati	5,391,417	58,224	416
DOPE-bts	2,135,964	43,329	1,218
Dom Kennedy - 2morrow (We Aint Worried) [feat. Ty Dolla $ign]	5,068,951	72,137	240
Deep sea (Binz ,Thanh Nguyễn, TripleD - GVR, Spacespeakears)	4,400,092	32,315	470
Danza Kuduro-Fast Five	3,603,304	44,727	248
Drake - Versace Ft  Meek Mill, Tyga, Migos (Remix)	3,950,990	46,915	284
Do Ya Like x Resonance Mashup	3,427,493	64,637	1,210
Desi Boyz - Subha Hone Na De	2,805,544	48,575	189
Don Omar - Danza Kuduro	3,339,828	51,881	477
Đen - Mơ ft. Hậu Vi - Prod. River Beats (Official Audio)	3,545,862	27,829	266
Dil Kare - Atif Aslam (2015)	2,120,098	48,709	235
Diamonds - Madilyn Bailey ( Rihanna )	3,177,173	47,648	489
Death Note - L's Theme	3,136,989	43,949	1,989
DJ Got Us Falling In Love Again	2,862,005	40,303	749
Deadmau5 - Ghosts 'N' Stuff (Feat. Rob Swire)	3,027,946	43,766	519
Death Parade OP -Flyers- Full	3,746,888	35,444	808
Disturbed - Down With The Sickness	2,526,954	30,399	828
ĐỢI // VŨ. (ORIGINAL)	2,639,069	29,286	273
Dancehall 2015, Vybz Kartel, Aidonia, Alkaline, Mavado & I-Octane	5,364,480	79,402	692
Dead To Me - Kali Uchis (slowed)	7,697,143	128,979	4,546
Do You Like It When I .	7,826,475	112,853	859
Distant Relatives - Patience	6,910,657	125,284	1,467
Derez De'Shon - Fed Up	9,537,426	131,888	506
Daddy Issues- The Neighbourhood	7,052,960	105,272	2,223
Deewani Mastani - Song - Bajirao Mastani - Full Song	5,404,667	108,324	421
DJ Alex Sensation - Salsa Mix  Eddie Santiago   old skool salsa	5,560,738	60,695	661
Dae Dae & London On Da Track - Woke Up	11,126,938	134,052	642
Dil ko karar aya-neha kakkar	5,352,813	173,614	2,309
Daddy Issues (Slowed)	6,416,767	101,115	3,378
DEMO.3	1,560,581	64,628	36,340
Devvon Terrell - #WCW	7,304,962	97,562	187
Diskusi Senja	9,356,876	102,750	767
Diplo - Revolution (SEAN&BOBO REMIX)	5,891,057	101,505	2,036
Dj Taj ~ Caillou Anthem (feat. Dj Flex) {DOWNLOAD LINK IN DESCRIPTION}	4,660,518	85,588	1,267
Devvon Terrell - Work (remix)	5,296,342	83,425	705
DM - Cosculluela	10,285,042	131,633	701
Dont Stop Me Now - Queen	5,961,604	76,517	1,493
Desculpa Doutor	8,601,504	151,854	413
Dah Lw Etsab (Crazy AD)	9,130,184	259,933	843
Deepthroat (prod. by seemaple)	8,799,819	110,402	4,824
Đen x JustaTee - Đi Về Nhà	8,765,015	75,284	1,486
Dani & Lizzy ~ Dancing In The Sky	4,931,563	58,602	1,930
Drake - Fall For Your Type (Full)	5,879,369	89,815	273
Donald Trump - Mac Miller	8,070,544	104,090	1,399
Dirt Road Anthem - Jason Aldean (GrizzG Remix)	3,529,461	39,982	616
Dilsinho - Refém  A o vivo - Radio mania	6,311,465	132,922	276
Del Negociante : Los Plebes Del Rancho De Ariel Camacho	10,115,188	62,513	327
Delino Marçal-Deus É Deus	5,087,460	102,752	636
Do You Miss It	8,482,467	119,699	882
DRAKE- CONTROLLA (FEAT. POPCAAN) *HQ* COVER	7,550,302	77,231	1,015
Dekhte Dekhte Atif Aslam Nusrat Fateh Ali Khan Batti Gul Meter Chalu	3,739,526	123,031	1,273
DOWLOAD IN DESCPRITON - Drum And Bass Father - Dj GUV Spinning Method EDITION	5,771,769	90,038	1,184
Dj Dangdut Remix Terbaru 2020 ~ Dj tiktok viral 2020 ~ Remix Slow full bass ~ Dj haning ~Mawar Putih	9,723,013	148,073	7,776
Đen - Mười Năm ft. Ngọc Linh (Lộn Xộn 3)	5,861,093	51,862	448
Drake feat. Rihanna - Take Care	5,883,007	92,877	451
Drop Top Benz (Ft. Lil Skies)	10,294,367	160,851	952
DESPACITO - Star Sound Dj Frann - LUIS FONSI , DADDY YANKEE & JUSTIN BIEBER	20,971,924	88,831	677
Drake - Over (Ayobi Remix)	6,594,844	84,162	549
Daft Punk - Random Access Memories (Vanderway Edit)	6,969,451	95,100	3,105
Doutora 3	12,498,090	216,857	3,814
DJ DASTEN - ALETEO TIME VOL 4 - (2016)	3,042,707	74,931	1,169
Did You Mean It	6,293,966	80,939	237
Desiigner - Hectic	8,383,856	101,554	792
Donate a Dollar	7,370,862	84,157	242
Dj Cammy - Dancing In The Dark	4,979,402	71,934	612
Duke Dumont - Need U 100% (KREAM Remix)	5,298,475	90,902	388
Disturbed - 10000 Fists	4,148,258	46,124	1,331
Drake - The Motto ft. Lil Wayne	5,256,704	79,489	330
DJ DASTEN - ALETEO TIME VOL 5 SET (2016 - 2017)	2,898,488	80,691	1,044
Daniel Kim - Pop Danthology 2013	5,120,960	55,756	1,933
Drunk In Love (Diplo Remix)	4,395,389	69,636	422
Do You Want To Build A Snowman	3,996,466	45,507	3,399
Do It For Love	5,057,970	64,783	1,072
Da Real Gee Money - Industry (NBA YoungBoy Response)	8,507,189	112,788	2,627
Daniel Skye - All I Want ft. Cameron Dallas	4,139,187	51,510	685
Dj Cammy - Country Roads Remix	5,072,191	66,842	786
Dil Sambhal Ja Zara Phir Mohabbat Karne Chala - YouTube	4,606,023	107,759	483
DOUBT ON ME (Prod. Jasiah) [Free Download]	65,340	2,986	143
Duki - Hello Cotto	4,892,839	60,088	504
Davido - Aye (Prod. TSpize)	4,307,913	54,112	524
Dear Ex	5,843,937	81,541	1,156
Dhyo haw - Ada Aku Disini	8,025,489	105,920	1,833
Dialog Senja - Lara	10,709,823	129,525	4,567
D Block Europe (Young Adz X Dirtbike LB) - Kitchen Kings  (Prod. Vybz Hitz) GRM Daily	5,861,418	71,326	1,059
Đen - một triệu like ft. Thành Đồng	5,808,041	51,940	948
Dù Cho Mai Về Sau	7,762,836	70,175	1,338
DEWA 19 - Kangen	8,182,096	113,592	804
Do Ya Like - Childish Gambino	6,036,363	114,007	888
DJ Snake - Middle	6,132,989	87,664	586
drive	5,369,271	78,036	312
Despues de Ti Quien-La Adictiva Banda San Jose de Mesillas	11,510,431	42,254	371
Drugs	5,150,012	92,933	519
dizzy	1,884,688	79,443	1,233
Deep House Vocal House  DJ Danilo Kovacevic	3,370,740	59,495	1,527
Demonstrate (Prod. Taz Taylor & Nick Mira)	9,591,107	95,744	3,395
Daniel Kim - Pop Danthology 2014	3,565,606	49,678	861
Dreezy - Up And Down produced by D. Brooks Exclusive (mp3.pm)	5,532,822	68,323	200
Dwayne DJ Bravo - Champion	4,047,435	78,004	642
Den - Co Gai Ban Ben Ft Lynk Lee (Official)	5,363,251	44,796	388
DJ AISYAH JATUH CINTA PADA JAMILA.. TIK TOK PALING POPULER SEDUNIA	7,883,188	114,645	734
Denzel Curry - Threatz (Ekali & Gravez Remix)	6,419,068	130,222	1,428
Die Trying	4,845,530	80,028	679
Dead And Cold ft.Ollie MN (prod. mental)	6,200,282	64,954	2,755
Dexy's Midnight Runners - Come On Eileen	6,570,162	64,322	515
DJ Special Ed's Old School 70s and 80s Funk Mix Vol. 1	2,333,806	36,094	527
Dej Loaf - I Got It (Sell Sole)	4,514,456	57,880	145
Deadmau5 Strobe	5,131,568	82,830	2,437
Davido - IF (Prod By Tekno)	3,573,024	52,893	201
Dboy - iBuprofen (Ft Snow & Yelyah)	6,086,835	80,378	1,154
DEMO.4	1,321,375	47,867	22,782
Darkzy - One Dance (Free Download)	3,784,688	66,172	3,244
Da Baby - Pull Up Music	9,599,581	120,097	762
Deesmi Onlife — Влюбился В Неё (Премьера 2019)	11,105,196	139,589	1,228
Drake Feat JoJo - Marvins Room 2	4,977,036	74,695	242
DragonForce - Through the Fire and Flames	5,103,903	65,501	2,084
Dhoom3 Kamli Ft.Sunidhi Chauhan	3,594,718	85,711	493
Dont stop believing by Journey / Cover	2,839,593	33,162	535
DHARIA - Sugar & Brownies	5,588,001	116,229	1,663
Derez De'Shon - P.I.L. (Pain Is Love)	5,473,493	76,444	223
Dum Dum-Band Baja Barat	3,757,715	85,220	250
Dlow - Bet You Cant Do It Like Me Challenge (Original Version)	3,687,880	54,060	605
Damian Marley - Road To Zion ( EFIX & XKAEM Cover )	4,575,297	76,830	1,991
Diles - Bad Bunny, Ozuna, Arcangel, Farruko, Ñengo Flow (Audio Official)	8,193,989	78,111	215
Don Diablo & Steve Aoki X Lush & Simon - What We Started ft. BullySongs	4,471,628	92,833	813
Dave - No Words (ft. Mo Stack)	5,756,556	58,348	356
Ed Sheeran - Thinking Out Loud  [Live On Jools Holland]	36,846,947	370,352	2,200
Eminem - lose yourself	27,990,499	409,086	7,638
Ed Sheeran - Shape of You (NOTD Remix)	31,075,870	446,244	3,401
Eminem Till i collapse	24,158,783	307,420	5,603
Elliot Trent - The First Time	20,291,567	255,435	1,137
Empire State of Mind (New York, New York Intro)	10,207,438	237,349	1,763
Eric Bellinger - Valet ft. Fetty Wap & 2 Chainz	18,929,634	257,677	1,014
El Karma - Ariel Camacho y Los Plebes Del Rancho (2014)	20,969,433	139,449	1,004
Echosmith - Cool Kids	17,378,557	159,906	2,071
Eminem - Love The Way You Lie	10,205,009	173,801	1,514
Eminem-Mockingbird	12,514,082	176,283	2,375
Edward Maya - Stereo Love (Original Mix)	12,429,703	203,673	2,513
EyeKeem - Gasolina (ft. KORNDAWG & ACOT)	16,262,965	196,659	6,169
Eyad Jian - Donito Wahshany / إياد جـيان - دنيته وحشاني	21,990,529	596,448	2,151
El Joker - Ib2i Iftkrini الجوكر - ابقى افتكرينى	12,281,943	349,803	1,359
Eminem---Mocking Bird	9,526,167	110,364	1,311
Enrique Iglesias Feat. Descemer Bueno & Zion Y Lennox - Subeme La Radio (A†lan6 Mix)	10,914,794	134,922	784
Eminem - Not Afraid	9,458,062	131,486	977
Eyes Blue Like The Atlantic Feat. Subvrbs (Prod Sista)	9,307,817	147,139	6,952
El Esseily - Heya محمود العسيلي - هىّ  shorter version	12,297,534	394,749	1,106
Ella Y Yo-Don Omar & Aventura (Intro Edit) @Deejay_Glow	10,723,331	87,311	484
Epiphany - BTS (방탄소년단) LOVE YOURSELF 結 Answer	3,694,832	73,950	1,915
Endor 'Pump It Up'	5,367,358	88,831	866
Eminem - Venom	5,977,067	100,222	3,449
Ed Sheeran - Thinking Out Loud (Boyce Avenue Acoustic Cover)	5,596,785	63,490	636
Everybody Talks - Neon Trees	5,877,146	94,358	4,688
El Joker - W El Oghnia De 7aram | الجوكر - و الأغنية دى حرام	6,381,641	169,722	606
Elijah Blake - I Just Wanna (RnBass)	5,605,238	84,396	131
Efek Rumah Kaca - Sebelah Mata	8,349,719	95,525	1,161
El Boxer - البوكسر	4,071,703	98,760	1,796
ENRIQUE IGLESIAS - Bailamos	5,195,516	67,166	400
Eyes, Nose, Lips - TAEYANG	4,184,915	60,523	612
Eminen ft. Bruno Mars - Lighters	5,030,218	52,190	642
Eminem - Sing for the moment Feat 2Pac & Biggie	5,434,354	68,150	573
Egyptian Project - Soufi  سقاني الغرام	5,863,942	131,231	2,238
Eurythmics - Sweet Dreams  Ibiza Deep Summer Remix	6,013,475	104,533	722
El Bebeto - No Te Creas Tan Importante	8,028,477	47,652	185
Efek Rumah Kaca - Desember	6,309,297	76,715	426
Eres Una Niña-Gerardo Ortiz	8,653,132	37,151	215
Eminem feat. Lil Wayne - No Love	4,912,038	68,996	516
Efek Rumah Kaca - Desember	6,309,297	76,715	426
Eres Una Niña-Gerardo Ortiz	8,653,133	37,151	215
Eminem feat. Lil Wayne - No Love	4,912,038	68,996	516
Enen no Shouboutai "Fire Force" | OP ● Opening FULL | Inferno ✦ Mrs. GREEN APPLE	6,176,105	64,259	5,548
Elephant In The Room - XXXTENTACION	6,995,784	86,817	1,721
Elvis Presley   Always On My Mind	3,231,131	38,773	474
Eric Thomas- Best Motivational Speech( A MUST LISTEN)	3,329,876	50,546	306
Escreve Aí - Luan Santana (Música Nova)	5,473,899	47,362	142
Ed Sheeran - Shape Of You (Original)	4,367,657	84,102	611
Evanescence - My inmortal	3,707,132	57,123	713
Edi Rock Ft. Seu Jorge - That's My Way	7,780,371	118,191	1,214
ELmohtrfn.5.swhab.eltourky. خمس صحاب فريق المحترفين الدخلاويه جديد 2015	6,238,185	124,976	240
EFIX & Henri Pfr - I'm Goin' Down (feat. Florence Welch & Kid Harpoon)	4,945,251	80,816	1,190
El joker-Shakal Lelbe3 _ الجوكر-شكل للبيع (Dirty)+18	5,934,796	121,415	701
Enrique Iglasias - Hero	3,263,609	70,603	391
Enya - Only time	3,421,385	57,491	454
El Joker _ El Ra2sa El 2a5ira I الجوكر _ الرقصة الأخيرة	7,142,512	179,350	462
EL KONT TORKY  ||  مهرجان الصحاب يلا 2019 الأساطير و النمرة 6	6,674,190	179,990	311
EMIN3M - Till I Collapse (NEFFEX Remix)	6,208,971	64,442	2,438
Ek tera pyar	3,741,496	74,566	491
Ed Sheeran - Thinking Out Loud (Boyce Avenue Acoustic Cover)	5,596,792	63,490	636
Ego - Willy William (VINCI REFIX)	10,650,888	148,921	2,378
Everybody Talks - Neon Trees	5,877,182	94,360	4,688
Errybody Not Your Friend	8,136,042	128,498	2,174
Excuse Me (feat. Too $hort) - Mozzy, Yhung T.O. & DCMBR	9,978,247	132,532	368
El Papel Cambio El Komander	9,627,944	49,557	156
Ethereal Adventure ~ Ambient Healing 432Hz Yoga, Relax, Meditation, Sleep	4,404,106	53,067	2,174
El Drip	9,212,792	93,319	2,380
El Joker - W El Oghnia De 7aram | الجوكر - و الأغنية دى حرام	6,381,667	169,723	606
Earned It The Weeknd	4,934,632	78,251	521
EXO - Love Shot	5,056,363	87,398	2,295
Elijah Blake - I Just Wanna (RnBass)	5,605,240	84,396	131
Ed Sheeran - Galway Girl (Koni & Callum McBride Remix)	4,666,595	56,122	604
Efek Rumah Kaca - Sebelah Mata	8,349,742	95,527	1,161
El Joker - Ba3d El Nesyan l الجوكر - بعد النسيان	8,458,236	234,453	938
El Boxer - البوكسر	4,071,706	98,759	1,796
ENRIQUE IGLESIAS - Bailamos	5,195,532	67,166	401
Eyes, Nose, Lips - TAEYANG	4,184,926	60,523	612
Eminen ft. Bruno Mars - Lighters	5,030,223	52,190	642
Eminem - Sing for the moment Feat 2Pac & Biggie	5,434,365	68,151	573
Egyptian Project - Soufi  سقاني الغرام	5,863,957	131,233	2,238
Et7ad El-Kama - Sha3by W T3amel - 2015 _ مهرجان اتحاد القمة - شعبى و بتعامل - نسخة اصلية	6,668,021	141,770	271
Eurythmics - Sweet Dreams  Ibiza Deep Summer Remix	6,013,522	104,534	722
El Bebeto - No Te Creas Tan Importante	8,028,487	47,652	185
Efek Rumah Kaca - Desember	6,309,309	76,715	426
Everyday We Lit (Remix)ft Pnb Rock, Lil Yachty, & Wiz Khalifa	6,730,660	85,215	556
Ella Eyre - We Don't Have To Take Our Clothes Off (Whipped Cream Remix)	5,244,217	76,879	287
Eres Una Niña-Gerardo Ortiz	8,653,136	37,151	215
Eminem feat. Lil Wayne - No Love	4,912,045	68,996	516
Enen no Shouboutai "Fire Force" | OP ● Opening FULL | Inferno ✦ Mrs. GREEN APPLE	6,176,143	64,259	5,548
Eminem - Lose Yourself	5,097,016	72,986	2,270
EXO ; KoKoBop	3,422,154	60,291	668
Elephant In The Room - XXXTENTACION	6,995,796	86,817	1,721
Elvis Presley   Always On My Mind	3,231,136	38,773	474
Eric Thomas- Best Motivational Speech( A MUST LISTEN)	3,329,885	50,546	306
Ella Mai - She Dont Ft. TyDolla$ign	7,234,018	96,564	776
Eminem Feat. P!nk - Won't Back Down	3,844,570	50,484	606
Escreve Aí - Luan Santana (Música Nova)	5,473,906	47,362	142
E1EMENT	3,088,458	42,082	74
Esta Cabron (Remix) - Ñejo, X Gotay, Ft. Pusho, Almighty, D.OZi, Anuel AA, Yomo & Jamby ''El Favo"	4,784,246	71,501	643
Everything Nice- DreamDoll (Prod.Murrille)	4,509,144	54,193	214
El Perdon - Enrique Iglesias Ft Nicky Jam - ( Pdj Remix )	3,834,169	25,970	92
ELEGI - RAUW ALEJANDRO FT DALEX LENNY TAVAREZ	4,729,267	80,172	479
El mentado - Ariel Camacho	4,146,204	26,618	118
EGOISTA - Ozuna Ft. Zion & Lennox (Odisea)	4,021,551	44,353	59
