tracks	play-repeated	heart	comment
Ahora Me Llama - Karol G, Bad Bunny	6,513,461	78,865	570
Amr_Diab_-_Aks_Baad_(عمرو_دياب_-_عكس_بعض_(كلمات.mp3	7,074,289	190,864	590
All of me by John Legend (Boyce Avenue Acoustic Cover)	3,861,664	37,516	252
Alone Time - Lil Uzi Vert	6,371,783	88,554	412
A Thousand Miles  - Vanessa Carlton	4,133,342	45,867	616
Angreji Beat (Cocktail) - Yo Yo Honey Singh [Full Song]	2,889,086	53,115	283
ALL MY FRIENDS ARE WASTED	4,771,820	64,258	294
Alan Walker - Faded (Where Are You Now) (Nightcore Remix)	6,011,179	74,582	1,689
Adele-some one like you(bachata miX)dj-6-	4,151,105	62,700	301
As The World Caves In Cover By Sarah Cothran (ORIGINAL)	3,907,639	76,309	2,221
Amy Winehouse - You know I'm no good - Skeewiff Remix	3,328,166	47,599	460
ALKALINE - MOVE MOUNTAINS (THINGS MI LOVE	3,958,296	57,195	395
Amy Winehouse - You know I'm no good - Skeewiff Remix	3,328,166	47,599	460
ALKALINE - MOVE MOUNTAINS (THINGS MI LOVE	3,958,296	57,195	395
Allah Waariyan Yaariyan 2013 (Follow Me Guys)	3,357,798	66,070	502
Alkaline-City	4,046,568	51,253	288
Anitta-Movimento Da Sanfoninha (Versão studio)	3,715,258	45,597	138
Arctic Monkeys - Feels Like We Only Go Backwards (Tame Impala)	4,152,874	66,249	883
Arctic Tundra- Juice WRLD	4,516,966	64,371	1,292
Astrid S - Hurts So Good (Markus Johnsen Edit)	5,733,230	77,884	632
Avril Lavigne - Smile	3,745,625	37,159	609
All Of Me - Madilyn Bailey And Jason Chen ( John Legend )	3,163,531	49,913	886
ACDC - Thunderstruck Lyrics	2,754,218	35,365	996
Al Green - Love And Happiness	1,894,055	32,959	266
Atomic Te De Campana Full%5b1%5d	4,692,441	52,927	113
August Alsina - Bandz	3,625,010	46,277	435
ANJI - Kekasih Terhebat	5,066,084	60,199	223
Akele Na Jaana- Zahra Haider Khan	2,925,071	56,451	1,055
AYO EISHA FT. GUTTA KAY - EISHA NO! ( PYT Diss Track ) (FREE DOWNLOAD)	3,991,770	69,655	2,683
Avril Lavigne-When you´re gone	3,446,353	39,793	311
Aline Barros - Aos olhos do Pai	3,260,161	35,596	253
Alkaline-Ride On Me (Raw)	2,950,427	48,275	594
Amy Winehouse - Back To Black	2,825,809	55,558	365
Attack on titan Opening 2	4,302,015	36,509	1,631
ASAP Rocky - L$D (A.L.L.A)	4,671,381	59,961	166
Aj Phir tum pe Pyar aya hai - - Hate Story 2  Full Song	2,477,253	51,443	437
Avril Lavigne - Won t Let You Go	2,381,744	32,413	523
Atif Aslam – Channa (Coke Studio Season 6, Episode 3)320kbps	2,396,764	43,569	373
Aventura - Romeo y Julieta	4,939,965	35,583	175
AC DC - High way to hell FINAL	2,607,639	27,898	348
AFLOJELE	1,593,868	44,583	409
ASAP Rocky - Demons (prod. Clams Casino)	4,801,311	64,270	248
Ahmed Kamel - Ra7 El Bait 2 | أحمد كامل - راح البيت 2	6,062,970	169,122	417
Asser Yassin & Myriam Fares 7ala 7elwa حالة حلوة	4,596,030	147,645	836
Asala _ Alomo 3la eh \ اصالة _ الومة علي ايه	8,372,295	211,598	1,000
ACDC, Bon Jovi, Van Halen, Guns n Roses - daves Rock Remix	3,969,457	27,176	614
Alligatoah - Willst du (OFFICIAL VERSION)	3,034,314	30,321	869
Almost is Never Enough ( Ariana Grande ft. Nathan Sykes Cover ) by Gamaliel & Audrey	3,040,996	31,103	1,327
Alex Clare - Too Close	3,573,638	40,099	586
Armada - bebaskan diriku	5,321,396	57,757	481
Anna Kendrick - Cups (Radio Version) Pitch Perfect	2,868,182	30,188	502
Avril Lavigne - Let Me Go Feat. Chad Kroeger (Extended Opening)	3,591,504	31,026	867
Aaron Smith - Dancin (Linier Remix)	7,137,912	124,410	587
Ayo & Teo "Lit Right Now" | PROD. BL$$D #litrighnowanthem (OFFICIAL)	5,422,118	77,998	1,499
Another Brick in the Wall - Pink Floyd	4,458,717	69,645	948
Alessia Cara - Out Of Love (Official Live Performance)  Vevo x Alessia Cara.mp3	7,400,582	76,791	983
Asala Khanat El-Zekrayat اصالة خانات الزكريات	8,500,456	225,179	687
Ace Hood  "I Need Your Love" (ft Trey Songz)	4,595,642	66,485	490
Adele - Someone like You " اديل على القهوة "(moseqar remix)	6,857,807	106,220	4,370
Anne Marie - 2002(FULL)	6,568,151	105,103	1,431
Ariana Grande-Thank U, Next	4,787,973	79,821	1,170
Adele Tribute 19/21 - Make you Feel My Love	5,540,018	81,229	468
ALi KHedr - رامى صبرى _ نفسها تشوفنى.mp3	11,794,974	366,533	895
Another Round (feat. Chris Brown)	5,516,011	82,861	331
Anuel - Ayer (Prod. Dj Nelson Y Dj Luian) (Flow La Discoteka 3) (WWW.ELGENERO.COM)	11,402,647	130,250	1,109
Antoine Chambe - Dream Of Me	8,686,217	105,512	1,707
Akcent - Kamelia (Extended) feat Lidia Buble & DDY Nunes	4,664,521	93,437	817
Aaliyah - Come Over	3,957,128	78,089	234
Ariana Grande - "No Tears Left To Cry" (Cover by TeraBrite)	5,691,717	98,310	3,029
American Boy, But Shibuya Is There Too	5,903,676	117,857	1,623
Anjaana Anjaani - 05 - Tujhe Bhula Diya	5,087,113	115,377	404
Almighty Ft Farruko - Panda (Spanish Version)	8,202,869	91,336	575
AVICII vs RICK ASTLEY - Never Gonna Wake You Up (Get Knocked Down) (NilsOfficial Mashup)	4,615,059	72,514	883
Ahmed Kamel - 2ooly (Official music) | أحمد كامل -  قولي غاب مش فاكره شكله توزيع لمبي مصر	10,471,717	333,929	3,005
Argumentasi Dimensi	8,223,059	85,840	658
Almost Is Never Enough Feat. Barsena - Ariana Grande Feat. Nathan Sykes	5,890,863	57,939	1,620
ARCANGEL FT BAD BUNNY - ORIGINAL (ARES)	8,044,941	109,852	169
Anas kareem  El tal2a el russye  -  انس كريم الطلقة الروسية	6,834,755	130,154	808
All Of Me (Feat. Barsena) - John Legend	7,282,179	65,785	2,039
Atif Aslam,Bohemia and Arijit Singh mashup	5,751,324	116,092	644
